"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1oVEVmVaI590kt8bCZ90uU","Holiday Party","spotify:artist:73B9bjqS2Z5KLXNGqXf64m","Weeekly","spotify:album:1FDlvA1PdZujiEhbXihIPJ","Play Game : Holiday","spotify:artist:73B9bjqS2Z5KLXNGqXf64m","Weeekly","2021-08-04","https://i.scdn.co/image/ab67616d0000b273c412e430ac07b4bf18b424af","1","3","189306","https://p.scdn.co/mp3-preview/d1ccbb7c496b9f386ab6d2fca6d3b8c99497c885?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","KRA382159869","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:22:16Z"
"spotify:track:5W37S0nq1XvGEyTlUkmr3f","Get Away","spotify:artist:1fWUcRSok57yRm8gPKj1Fc","VERIVERY","spotify:album:5wQhc8SEKiiXb5b5Ou7tHE","SERIES ‘O’ [ROUND 1 : HALL]","spotify:artist:1fWUcRSok57yRm8gPKj1Fc","VERIVERY","2021-03-02","https://i.scdn.co/image/ab67616d0000b273d9885694ac7b1846c7050d0f","1","1","200546","https://p.scdn.co/mp3-preview/b5745430c4b2ce4400345f193720d228e25988cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","KRA772100001","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:22:27Z"
"spotify:track:15djITIu5osnO9yIT29r0Z","mumumumuch","spotify:artist:0XATRDCYuuGhk0oE7C0o5G","MAMAMOO","spotify:album:2yApvdfgG74FlAW2L4tlTW","I SAY MAMAMOO : THE BEST","spotify:artist:0XATRDCYuuGhk0oE7C0o5G","MAMAMOO","2021-09-15","https://i.scdn.co/image/ab67616d0000b2734b348a6a6078e6403373f5c9","1","1","209093","https://p.scdn.co/mp3-preview/9f665bab2e359abc72530956e5da0db02c9e4ce0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","KRA382160462","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:22:33Z"
"spotify:track:2y3RsLPUpPcMUdzluiJtNE","We DO","spotify:artist:5BHFSMEjfLVx1JwRWjAOsE","SuperM","spotify:album:2O4FwZ1cE8PHsP0PAf6Vtr","We DO","spotify:artist:5BHFSMEjfLVx1JwRWjAOsE","SuperM","2021-04-09","https://i.scdn.co/image/ab67616d0000b273bb2bbfc5def5e59441e8ab28","1","1","221520","https://p.scdn.co/mp3-preview/4430b760b1a48ae3d68063bbc1277677ec8592e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","KRA302100121","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:22:44Z"
"spotify:track:3FxEYn2E7dT5A5DT4luQGK","Door","spotify:artist:0qr7Rhj0yU7BPySYecNUlm","KWON EUN BI","spotify:album:3sWCaTJS9BlBIlp2ECBh9t","OPEN","spotify:artist:0qr7Rhj0yU7BPySYecNUlm","KWON EUN BI","2021-08-24","https://i.scdn.co/image/ab67616d0000b2737d52f3248339e9ed704ffaf9","1","2","199533","https://p.scdn.co/mp3-preview/a9fd7713c4bcf1ed57c4c5ecc3f98b3cd55604a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","KRA382160181","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:22:51Z"
"spotify:track:0BeqHPNJSLzfH8TZ7Adpb3","Winter Falls","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","spotify:album:1qVuQI0WRn2Mczbdxx54Ih","Christmas EveL","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","2021-11-29","https://i.scdn.co/image/ab67616d0000b273cd723e6efb66f6ef28fac28e","1","3","235386","https://p.scdn.co/mp3-preview/d2a4db7577b0772ccdf4fe0fc9b196c096ef8301?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","US5TA2100117","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:22:58Z"
"spotify:track:6PFfx4sEBWPuFqFB0mgX1D","GLASSY","spotify:artist:3LFFf4EpKn2krneZ9vozyz","JO YURI","spotify:album:2WCMmZ8vXBnkVp97PzLeoA","GLASSY","spotify:artist:3LFFf4EpKn2krneZ9vozyz","JO YURI","2021-10-07","https://i.scdn.co/image/ab67616d0000b273351ac6effa17d7780a306d24","1","1","189933","https://p.scdn.co/mp3-preview/3b52b5a4fce6e64881cd51691489361290c3adc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","KRA492101033","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:23:07Z"
"spotify:track:1iGQpclvzonFNzy7Ko89V7","Sticker","spotify:artist:7f4ignuCJhLXfZ9giKT7rH","NCT 127","spotify:album:6nYbIKGcTmKM5BAlJPPcad","Sticker - The 3rd Album","spotify:artist:7f4ignuCJhLXfZ9giKT7rH","NCT 127","2021-09-17","https://i.scdn.co/image/ab67616d0000b27373e21d92fa8c70ce6aba72d0","1","1","227773","","false","60","KRA302100278","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:23:14Z"
"spotify:track:3UHPGOkUcE4hE7sqBF4Snt","Film out","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","BTS","spotify:album:2jae5Jx8Yh1WjP1K4wTFUa","Film out","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","BTS","2021-04-01","https://i.scdn.co/image/ab67616d0000b27334938530af5d2d98acf174fc","1","1","214620","","false","68","JPPO02100554","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:23:22Z"
"spotify:track:2YXswOX5aKv6OHRKUcAMLQ","All Eyes On Me","spotify:artist:6UZ0ba50XreR4TM8u322gs","JISOO","spotify:album:4QuczuzDZNzCDli5Gz6DQ0","ME","spotify:artist:6UZ0ba50XreR4TM8u322gs","JISOO","2023-03-31","https://i.scdn.co/image/ab67616d0000b273f35b8a6c03cc633f734bd8ac","1","2","163522","","false","79","KRA402300003","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:33:20Z"
"spotify:track:7gjNxZa0eOEFLY1So9s3fC","WHEN I MOVE","spotify:artist:7aZ221EQfonNG2lO9Hh192","KARA","spotify:album:6VxGMuJlJzQgxUca7zRqGk","MOVE AGAIN","spotify:artist:7aZ221EQfonNG2lO9Hh192","KARA","2022-11-29","https://i.scdn.co/image/ab67616d0000b2739eb85e8740ba9e4d4cc5e64d","1","2","178360","https://p.scdn.co/mp3-preview/4065722e999922e737ae292a23d9642764b078b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","KSA012214903","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T16:18:58Z"
